zeitschrift,1
chapters,1
descriptions,1
t,1
incident,1
climbs,1
virgin's-'bower,1
resemble,1
downy,1
derived,1
a-'pis-'is-'kit-'sa-'wa,1
hair-'wash,1
matricarioides,1
matricaria,1
dog-'root,1
mat-'o-'at-'sim,1
delightful,1
perfumery,3
occidentale,1
thalictrum,1
at-'sina-'mo,1
thoroughly,1
esculenta,1
miss-'issa,1
divaricatum,1
o-'muck-'ai-'ix-'ixi,1
canadensis,1
mentha,1
plentifully,1
rediviva,1
lewisia,1
louisa,1
red-'head,1
bitter-'root,1
white-'root,2
astragalus,1
carolina,1
kach-'a-'tan,1
recurvatum,1
allium,1
onion,1
pesat-'se-'nekim,1
bistortoides,1
polygonum,1
smartweed,1
claytonia,1
spring-'beauty,1
lumpy-'head,1
napim,2
designate,1
lanatum,1
rhubarb,1
po-'kint-'somo,2
disporum,1
im-'a-'toch-'kot,1
argentea,1
elaeagnus,1
buffalo-'berry,1
stink-'wood,3
demissa,1
prunus,1
pukkeep,1
sarvis-'berries,1
quantities,1
ripen,2
side-'hills,2
shrub,1
oblongifolia,1
amelanchier,1
june-'berry,1
ok-'kun-'okin,1
balsamorrhiza,2
o-'to-'kap-'atsis,1
paper-'leaves,2
a-'pono-'kauki,1
sedge,1
cut-'your-'finger,1
so-'yo-'toi-'yis,1
lithospermum,2
pono-'kau-'sinni,1
preference,1
decaying,1
flourishes,1
umbellata,1
chimaphila,1
prince's,1
o-'makse-'ka-'ka-'sin,1
america,2
fried,1
uva-'ursi,1
arctostaphylus,1
larb,3
sixocasim,2
chew,1
washingtonia,1
hiemale,1
equisetum,1
scouring,1
cancer-'root,1
buffalo-'food,1
ana-'wawa-'toks-'tima,1
evernia,1
e-'simatch-'sis,2
red-'hot,1
diversifolia,1
gutierrezia,1
grindelia,1
aks-'peis,1
scopulorum,1
juniperus,1
pains,2
internally,3
acuminatus,1
pentstemon,1
beard-'tongue,1
sharp-'leaved,1
fire-'taste,1
at-'si-'po-'koa,2
quantity,1
a-'po-'pik-'a-'tiss,1
laxative,1
apocynum,1
dogbane,1
hemp,1
nuxapist,1
anserina,1
argentina,1
garter-'root,1
kita-'kop-'sim,1
nightshade,1
cut-'leaved,1
diarrhea,3
say's,1
apis-'is-'kitsa-'wa,1
inflamed,1
ciliata,1
lies-'on-'his-'belly,1
eye-'wash,1
horse-'mint,1
originated,1
arrow-'leaved,2
readily,1
scrofula,1
tenuifolia,1
alnus,1
paper-'leaf,1
red-'mouth,1
a-'much-'ko-'iyatsis,1
septentrionalis,1
valeriana,1
hemorrhages,1
aquifolium,1
berberis,1
frigida,1
artemisia,1
pasturage,1
kaksamis,1
horehound,3
eburnea,1
actaea,2
bane-'berry,2
snuffed,1
poisonous,1
speciosum,1
veratrum,1
american,4
et-'a-'wa-'asi,1
turns,2
strikes,1
adapted,1
anemone,4
round-'fruited,2
wind-'flower,1
lagopus,1
loco-'weed,1
swelling,2
cramps,2
chewed,5
physaria,1
pa-'kito-'ki,1
inhale,1
distemper,1
loamy,1
o-'muck-'kas,1
brilliancy,1
blazing-'star,1
salicifolius,1
combination,1
rumex,1
carolinianus,1
dock,1
willow-'leaved,1
matoa-'koa-'ksi,1
application,1
heuchera,1
alumn-'root,1
tastes,1
apos-'ipoco,1
pounded,5
pachylobus,1
lily,2
primrose,2
tufted,1
ap-'aks-'iboku,1
oks-'pi-'poku,1
flavoring,2
swellings,5
gairdneri,1
carum,1
squaw-'root,1
double-'root,1
reduced,1
glauca,1
yucca,1
ek-'siso-'ke,2
alaska,1
zone,1
north-'temperate,1
churches,1
sweden,1
europe,3
savastana,1
snuff,1
